geneSymbol	diseaseClass	diseaseClassLabel
A2M	D012140	16
A2ML1	D010038	15
AARS2	D009422	13
ABCA1	D009422	13
ABCA13	D013568	17
ABCA3	D012140	16
ABCA4	D005128	4
ABCA7	D009422	13
ABCB1	D009422	13
ABCB11	D004066	2
ABCB5	D009369	12
ABCB6	D009750	14
ABCB7	D006425	6
ABCC1	D009422	13
ABCC11	D013568	17
ABCC12	D064419	21
ABCC2	D004066	2
ABCC3	D004066	2
ABCC4	D064419	21
ABCC6	D009750	14
ABCC8	D009750	14
ABCC9	D002318	1
ABCD1	D009358	11
ABCD4	D013568	17
ABCF1	D007154	7
ABCG1	D013568	17
ABCG2	D009369	12
ABCG5	D002318	1
ABCG8	D004066	2
ABHD12	D005128	4
ABI3	D009422	13
ABL1	D009369	12
ABLIM1	D064419	21
ABO	D004066	2
ABT1	D013568	17
ACAA2	D012140	16
ACACA	D002318	1
ACACB	D009750	14
ACADM	D004066	2
ACADS	D002318	1
ACADVL	D013568	17
ACE	D004066	2
ACE2	D005261	5
ACER3	D009369	12
ACHE	D064419	21
ACKR1	D007239	8
ACKR3	D009369	12
ACKR4	D005261	5
ACLY	D002318	1
ACO2	D012140	16
ACOT2	D002318	1
ACP5	D004700	3
ACSL6	D006425	6
ACTA1	D002318	1
ACTA2	D012140	16
ACTB	D009422	13
ACTC1	D005128	4
ACTG1	D002318	1
ACTN2	D002318	1
ACTN4	D009369	12
ACTRT1	D009369	12
ACVR1	D009369	12
ACVR2A	D013568	17
ACVR2B	D009358	11
ACVRL1	D013568	17
ADA	D002318	1
ADAM10	D009422	13
ADAM17	D007154	7
ADAM33	D012140	16
ADAM9	D005128	4
ADAMTS1	D009422	13
ADAMTS13	D006425	6
ADAMTS20	D009369	12
ADAMTS7	D002318	1
ADAMTSL2	D013568	17
ADARB2	D064419	21
ADCY1	D064419	21
ADCY10	D013568	17
ADCY5	D013568	17
ADCY7	D009369	12
ADCY8	D064419	21
ADCYAP1	D002318	1
ADD1	D002318	1
ADD3	D009422	13
ADGRE5	D012140	16
ADGRG2	D052801	20
ADGRV1	D009358	11
ADH1A	D004066	2
ADH1B	D004066	2
ADH1C	D064419	21
ADH4	D004066	2
ADH5	D064419	21
ADH6	D064419	21
ADH7	D064419	21
ADIPOQ	D012140	16
ADK	D013568	17
ADM	D004066	2
ADM2	D002318	1
ADORA1	D002318	1
ADORA2A	D013568	17
ADRA1A	D013568	17
ADRA1B	D013568	17
ADRA1D	D002318	1
ADRA2A	D013568	17
ADRA2B	D009422	13
ADRA2C	D002318	1
ADRB1	D002318	1
ADRB2	D009750	14
ADRB3	D002318	1
ADTRP	D002318	1
AFAP1L2	D009369	12
AFF4	D013568	17
AFG3L2	D009422	13
AFM	D064419	21
AFP	D004066	2
AGBL4	D064419	21
AGER	D012140	16
AGGF1	D002318	1
AGMO	D009422	13
AGO1	D064419	21
AGO2	D064419	21
AGPAT1	D005128	4
AGPAT3	D009422	13
AGRN	D009369	12
AGT	D012140	16
AGTPBP1	D013568	17
AGTR1	D005261	5
AGTR2	D002318	1
AHCY	D004066	2
AHI1	D009358	11
AHNAK	D017437	19
AHR	D005261	5
AHSG	D009750	14
AICDA	D007154	7
AIFM1	D005128	4
AIMP2	D009422	13
AIP	D009369	12
AIPL1	D009358	11
AIRE	D007239	8
AK1	D006425	6
AK5	D064419	21
AKAP10	D002318	1
AKAP7	D064419	21
AKAP9	D017437	19
AKR1A1	D004066	2
AKR1B1	D005128	4
AKR1B10	D017437	19
AKR1C1	D005261	5
AKR1C2	D005261	5
AKR1C3	D005261	5
AKR1C4	D064419	21
AKR1D1	D004066	2
AKT1	D013568	17
AKT2	D009369	12
ALAD	D004066	2
ALAS1	D009750	14
ALAS2	D006425	6
ALB	D007239	8
ALCAM	D009369	12
ALDH1A1	D004066	2
ALDH1A2	D009422	13
ALDH1A3	D009369	12
ALDH1B1	D004066	2
ALDH2	D004066	2
ALDH3A1	D005128	4
ALDH3B2	D064419	21
ALDH4A1	D004066	2
ALDH5A1	D009422	13
ALDH6A1	D002318	1
ALDH7A1	D009422	13
ALDH8A1	D004066	2
ALDOA	D002318	1
ALDOB	D013568	17
ALK	D012140	16
ALMS1	D005128	4
ALOX12	D009422	13
ALOX12B	D009369	12
ALOX15	D002318	1
ALOX5	D002318	1
ALOX5AP	D002318	1
ALPG	D005261	5
ALPK1	D013568	17
ALPL	D009750	14
ALS2	D009422	13
AMACR	D009369	12
AMBP	D064419	21
AMFR	D009422	13
AMH	D005261	5
AMHR2	D005261	5
AMN	D013568	17
AMPD2	D009422	13
ANAPC1	D064419	21
ANG	D013568	17
ANGPT1	D013568	17
ANGPT2	D009369	12
ANGPTL3	D009750	14
ANGPTL4	D004066	2
ANK1	D009140	10
ANKH	D009140	10
ANKK1	D064419	21
ANKRD1	D002318	1
ANKS1A	D002318	1
ANO4	D064419	21
ANO6	D006425	6
ANTXR2	D009140	10
ANXA1	D009369	12
ANXA2	D009369	12
ANXA4	D009369	12
ANXA5	D009369	12
ANXA6	D009369	12
AOAH	D064419	21
AOC1	D002318	1
AOC3	D002318	1
AP1B1	D013568	17
AP1S3	D017437	19
AP2M1	D009422	13
AP2S1	D009750	14
AP3B1	D012140	16
AP3D1	D006425	6
APAF1	D005128	4
APBA2	D017437	19
APBB2	D013568	17
APC	D009369	12
APC2	D009358	11
APCDD1	D017437	19
APCS	D002318	1
APEX1	D013568	17
APLN	D002318	1
APLP2	D002318	1
APOA1	D002318	1
APOA4	D002318	1
APOA5	D002318	1
APOB	D004066	2
APOBEC3A	D009369	12
APOBEC3B	D009369	12
APOC1	D002318	1
APOC2	D009750	14
APOC3	D009750	14
APOD	D009422	13
APOE	D005261	5
APOH	D007154	7
APOL1	D007239	8
APOL2	D064419	21
APP	D013568	17
APPL2	D064419	21
AQP1	D004700	3
AQP2	D002318	1
AQP3	D009369	12
AQP4	D013568	17
AQP5	D013568	17
AQP9	D009369	12
AR	D009369	12
ARC	D009422	13
AREG	D012140	16
ARFGAP1	D009422	13
ARFGAP2	D013568	17
ARG1	D009369	12
ARG2	D013568	17
ARHGAP15	D004066	2
ARHGAP26	D006425	6
ARHGAP28	D005261	5
ARHGAP45	D009369	12
ARHGAP9	D002318	1
ARHGDIB	D002318	1
ARHGEF12	D013568	17
ARID1A	D009369	12
ARID1B	D009422	13
ARID4B	D009369	12
ARID5B	D064419	21
ARL13B	D009358	11
ARL2	D009369	12
ARL5B	D009369	12
ARL6	D009358	11
ARL6IP5	D064419	21
ARNT	D005261	5
ARNTL	D002318	1
ARNTL2	D064419	21
ARPC1B	D006425	6
ARPC2	D004066	2
ARRB2	D064419	21
ARX	D009422	13
AS3MT	D009369	12
ASAH2	D004066	2
ASCC1	D009422	13
ASCL1	D009422	13
ASF1A	D009369	12
ASIC1	D013568	17
ASIC2	D013568	17
ASIC3	D013568	17
ASIP	D009369	12
ASPG	D004066	2
ASPSCR1	D009369	12
ASTN2	D009422	13
ASXL1	D006425	6
ASXL2	D009369	12
ASXL3	D009422	13
ATAD3A	D009140	10
ATF2	D013568	17
ATF3	D009422	13
ATF4	D004066	2
ATF7IP	D009369	12
ATG16L1	D004066	2
ATG2B	D006425	6
ATG5	D013568	17
ATG7	D013568	17
ATIC	D064419	21
ATM	D013568	17
ATN1	D009422	13
ATOH1	D009369	12
ATOH7	D005128	4
ATOX1	D004066	2
ATP11A	D012140	16
ATP13A2	D009422	13
ATP1A1	D004700	3
ATP1A2	D009422	13
ATP1A3	D002318	1
ATP1B1	D064419	21
ATP1B2	D009369	12
ATP2A1	D002318	1
ATP2A2	D002318	1
ATP2A3	D009369	12
ATP2B1	D002318	1
ATP2B3	D004700	3
ATP5F1A	D009422	13
ATP5F1B	D013568	17
ATP5PF	D002318	1
ATP6AP2	D013568	17
ATP7A	D013568	17
ATP7B	D004066	2
ATP8B1	D004066	2
ATP9B	D064419	21
ATPAF2	D009750	14
ATR	D009369	12
ATRX	D006425	6
ATXN1	D009422	13
ATXN10	D009358	11
ATXN2	D005128	4
ATXN3	D013568	17
ATXN7	D009422	13
AURKA	D009422	13
AUTS2	D009422	13
AVP	D002318	1
AVPR2	D002318	1
AXIN1	D009358	11
AXIN2	D013568	17
AXL	D004700	3
AZGP1	D009369	12
B2M	D064419	21
B3GAT1	D004066	2
B3GLCT	D005128	4
B9D1	D009358	11
B9D2	D009358	11
BAAT	D004066	2
BACE1	D009422	13
BACH2	D009369	12
BAD	D009369	12
BAG3	D064419	21
BAK1	D013568	17
BAMBI	D002318	1
BAP1	D009369	12
BARD1	D009369	12
BASP1	D009369	12
BATF2	D009369	12
BATF3	D007239	8
BAX	D013568	17
BBS1	D009358	11
BBS2	D009358	11
BBS4	D009358	11
BBS5	D009358	11
BBS7	D009358	11
BBS9	D009358	11
BCAP31	D009358	11
BCAR1	D009369	12
BCAR3	D064419	21
BCAT1	D013568	17
BCAT2	D009369	12
BCHE	D064419	21
BCL10	D009369	12
BCL11A	D009369	12
BCL2	D009369	12
BCL2L1	D009369	12
BCL2L11	D004066	2
BCL3	D002318	1
BCO1	D009750	14
BCOR	D009369	12
BCR	D013568	17
BCS1L	D009750	14
BDKRB1	D009422	13
BDKRB2	D002318	1
BDNF	D064419	21
BEST1	D005128	4
BEX4	D004066	2
BFSP1	D005128	4
BFSP2	D005128	4
BGLAP	D009750	14
BHLHE40	D009369	12
BHMT	D064419	21
BIN1	D009422	13
BIRC2	D009369	12
BIRC3	D004066	2
BIRC5	D009369	12
BIRC6	D009369	12
BLM	D006425	6
BLVRA	D004066	2
BMI1	D006425	6
BMP2	D002318	1
BMP4	D009750	14
BMP6	D009750	14
BMP7	D012140	16
BMP8A	D002318	1
BMPR1A	D005261	5
BMPR1B	D004066	2
BOP1	D013568	17
BRAF	D013568	17
BRCA1	D006425	6
BRCA2	D006425	6
BRD1	D009369	12
BRD2	D009369	12
BRD4	D009369	12
BRD8	D005261	5
BRIP1	D006425	6
BSCL2	D009422	13
BSG	D013568	17
BSN	D002318	1
BST1	D012140	16
BTBD1	D013568	17
BTG2	D017437	19
BTG3	D004066	2
BUB1B	D009369	12
C1D	D064419	21
C1GALT1C1	D007154	7
C1QA	D007154	7
C1QB	D002318	1
C1R	D005261	5
C2	D017437	19
C3	D009750	14
C4A	D007154	7
C4B	D007154	7
C5	D017437	19
C6	D009750	14
C8A	D007239	8
C8orf37	D005128	4
C9	D064419	21
CA1	D009369	12
CA2	D009369	12
CA4	D005128	4
CA9	D009369	12
CABP4	D009422	13
CACNA1A	D009422	13
CACNA1B	D009422	13
CACNA1C	D009750	14
CACNA1D	D004700	3
CACNA1F	D005128	4
CACNA1H	D009422	13
CACNA1S	D013568	17
CACNA2D1	D002318	1
CACNA2D4	D005128	4
CACNB2	D002318	1
CACNB4	D009422	13
CALB2	D005128	4
CALCA	D012140	16
CALCR	D009750	14
CALM1	D009422	13
CALM2	D064419	21
CALR	D006425	6
CALY	D002318	1
CAMK2A	D064419	21
CAMK2B	D064419	21
CAMK2D	D002318	1
CAMK2G	D009422	13
CAMK4	D064419	21
CAMKK1	D009422	13
CAMTA1	D009369	12
CANX	D002318	1
CAPG	D009369	12
CAPN1	D009369	12
CAPN2	D009369	12
CAPN5	D005128	4
CAPZB	D002318	1
CARD14	D017437	19
CARD18	D009369	12
CARD8	D012140	16
CARD9	D004066	2
CARM1	D017437	19
CARS1	D064419	21
CARTPT	D004700	3
CASK	D009422	13
CASP1	D007154	7
CASP10	D009369	12
CASP3	D009422	13
CASP7	D009369	12
CASP8	D009369	12
CASP9	D009422	13
CASQ2	D002318	1
CASR	D004700	3
CASS4	D009422	13
CAST	D004066	2
CAT	D012140	16
CAV1	D017437	19
CAV2	D005128	4
CAV3	D013568	17
CAVIN1	D013568	17
CBFB	D009369	12
CBL	D006425	6
CBLB	D009369	12
CBLC	D009369	12
CBR1	D002318	1
CBS	D009750	14
CCAR2	D013568	17
CCBE1	D013568	17
CCDC28B	D009358	11
CCDC88B	D007239	8
CCDC88C	D009422	13
CCHCR1	D064419	21
CCK	D004066	2
CCKAR	D064419	21
CCKBR	D064419	21
CCL1	D005261	5
CCL11	D012140	16
CCL17	D007154	7
CCL19	D007154	7
CCL2	D012140	16
CCL20	D007154	7
CCL22	D005261	5
CCL24	D007154	7
CCL27	D017437	19
CCL3	D012140	16
CCL4	D012140	16
CCL5	D012140	16
CCL7	D007154	7
CCL8	D007154	7
CCN1	D017437	19
CCN2	D012140	16
CCN6	D009140	10
CCNA1	D009369	12
CCNA2	D009369	12
CCNB1	D009369	12
CCND1	D009369	12
CCND2	D009422	13
CCND3	D009369	12
CCNE1	D009369	12
CCNE2	D009369	12
CCNH	D009369	12
CCNO	D012140	16
CCNY	D004066	2
CCR1	D007154	7
CCR2	D012140	16
CCR3	D012140	16
CCR4	D009369	12
CCR6	D007154	7
CCR9	D007154	7
CCRL2	D017437	19
CCS	D004066	2
CCT7	D013568	17
CD14	D004066	2
CD164	D005261	5
CD2	D002318	1
CD209	D007239	8
CD226	D005261	5
CD247	D017437	19
CD27	D013568	17
CD274	D064419	21
CD28	D017437	19
CD2AP	D009422	13
CD33	D009369	12
CD36	D007239	8
CD38	D002318	1
CD3D	D004066	2
CD3E	D007154	7
CD4	D013568	17
CD40	D009750	14
CD40LG	D002318	1
CD44	D009369	12
CD46	D007239	8
CD55	D005261	5
CD59	D006425	6
CD68	D005261	5
CD7	D005261	5
CD74	D004066	2
CD79B	D004066	2
CD81	D007154	7
CD83	D017437	19
CD84	D005261	5
CD86	D017437	19
CD8A	D005261	5
CD9	D009369	12
CDC25B	D002318	1
CDC42	D009369	12
CDC42BPG	D009369	12
CDC73	D004700	3
CDCA7	D004066	2
CDH1	D009369	12
CDH10	D064419	21
CDH11	D009140	10
CDH12	D064419	21
CDH13	D064419	21
CDH15	D064419	21
CDH17	D009358	11
CDH18	D064419	21
CDH2	D013568	17
CDH23	D009358	11
CDH3	D005128	4
CDH5	D013568	17
CDH6	D013568	17
CDH8	D064419	21
CDH9	D064419	21
CDK2	D009369	12
CDK20	D064419	21
CDK3	D009369	12
CDK4	D009369	12
CDK5	D009422	13
CDK5R1	D009422	13
CDK6	D009369	12
CDKAL1	D013568	17
CDKL2	D013568	17
CDKL5	D009422	13
CDKN1A	D009369	12
CDKN1B	D009369	12
CDKN1C	D013568	17
CDKN2A	D009422	13
CDKN2B	D006425	6
CDKN2C	D009369	12
CDS1	D009369	12
CDSN	D017437	19
CEACAM1	D005261	5
CEACAM5	D005261	5
CEACAM6	D005261	5
CEBPA	D012140	16
CEBPB	D012140	16
CEBPD	D009369	12
CEBPE	D006425	6
CEL	D004066	2
CELA2A	D002318	1
CELA3B	D004066	2
CELSR2	D005261	5
CEP164	D009358	11
CEP290	D009358	11
CEP41	D009358	11
CERKL	D005128	4
CERS1	D009422	13
CERS6	D064419	21
CES1	D064419	21
CES2	D064419	21
CES3	D002318	1
CETP	D009750	14
CFAP52	D009358	11
CFD	D012140	16
CFH	D007239	8
CFHR5	D004066	2
CFL1	D009369	12
CFLAR	D006425	6
CFTR	D064419	21
CGA	D009369	12
CGB3	D004700	3
CHAF1A	D009057	9
CHAF1B	D009057	9
CHAT	D005128	4
CHCHD3	D064419	21
CHD1L	D064419	21
CHD2	D009422	13
CHD5	D009369	12
CHD6	D009369	12
CHD7	D004700	3
CHD8	D004066	2
CHEK1	D013568	17
CHEK2	D009369	12
CHI3L1	D009369	12
CHIA	D005261	5
CHM	D005128	4
CHMP1A	D009422	13
CHMP4B	D005128	4
CHMP5	D009369	12
CHN2	D009369	12
CHPT1	D012140	16
CHRM1	D009422	13
CHRM2	D064419	21
CHRM3	D009358	11
CHRM5	D064419	21
CHRNA1	D013568	17
CHRNA2	D009422	13
CHRNA3	D064419	21
CHRNA4	D009422	13
CHRNA5	D064419	21
CHRNA6	D064419	21
CHRNA7	D009422	13
CHRNB2	D009422	13
CHRNB3	D064419	21
CHRNB4	D064419	21
CHRNG	D009140	10
CHST14	D009358	11
CHUK	D009140	10
CIB2	D005128	4
CIC	D009369	12
CIDEA	D002318	1
CILK1	D009422	13
CIRBP	D002318	1
CISH	D009369	12
CITED2	D009369	12
CKAP5	D013568	17
CKB	D002318	1
CKM	D002318	1
CLCN2	D004700	3
CLCN3	D009369	12
CLCN5	D009369	12
CLCNKA	D002318	1
CLDN1	D005261	5
CLDN2	D004066	2
CLEC11A	D007239	8
CLEC1A	D007239	8
CLEC4A	D007154	7
CLEC4D	D012140	16
CLEC4E	D012140	16
CLEC5A	D007239	8
CLEC7A	D007239	8
CLIC4	D013568	17
CLMP	D004066	2
CLN3	D013568	17
CLN5	D005128	4
CLN6	D013568	17
CLN8	D005128	4
CLNS1A	D009369	12
CLOCK	D064419	21
CLP1	D009422	13
CLPB	D009422	13
CLRN1	D009358	11
CLU	D009422	13
CMA1	D012140	16
CNDP2	D004066	2
CNGA3	D005128	4
CNGB1	D005128	4
CNGB3	D005128	4
CNIH3	D005261	5
CNN3	D009369	12
CNNM1	D009369	12
CNNM4	D005128	4
CNPY2	D013568	17
CNR1	D064419	21
CNR2	D009369	12
CNST	D004700	3
CNTF	D013568	17
CNTN2	D009422	13
CNTN4	D013568	17
CNTN6	D009369	12
CNTNAP2	D009422	13
COG1	D007239	8
COG4	D009369	12
COG5	D007239	8
COL11A1	D005128	4
COL11A2	D005128	4
COL13A1	D005261	5
COL18A1	D009750	14
COL1A1	D005261	5
COL1A2	D005261	5
COL23A1	D009369	12
COL28A1	D064419	21
COL2A1	D005128	4
COL3A1	D012140	16
COL4A1	D009422	13
COL4A5	D009369	12
COL4A6	D005261	5
COL5A1	D005261	5
COL5A2	D005261	5
COL6A1	D005261	5
COL6A3	D005261	5
COL7A1	D013568	17
COL8A1	D002318	1
COL9A1	D005128	4
COL9A2	D005261	5
COL9A3	D017437	19
COLEC12	D064419	21
COLQ	D004066	2
COMMD1	D007154	7
COMP	D009140	10
COMT	D009369	12
COPA	D012140	16
COPS2	D005261	5
COPS7A	D013568	17
CORO1A	D009369	12
COX10	D009750	14
COX15	D009750	14
COX17	D004066	2
COX4I1	D009750	14
COX4I2	D009750	14
COX5B	D002318	1
COX6B1	D009750	14
COX8A	D064419	21
CP	D009422	13
CPA1	D004066	2
CPA2	D013568	17
CPB2	D013568	17
CPE	D009750	14
CPLX1	D009358	11
CPM	D005261	5
CPS1	D009369	12
CPSF1	D013568	17
CPT1A	D004066	2
CPT1B	D002318	1
CPT1C	D009422	13
CR1	D009422	13
CR2	D007154	7
CRB1	D009358	11
CRBN	D009358	11
CREB1	D064419	21
CREB5	D005261	5
CREBBP	D009369	12
CREG1	D002318	1
CRELD1	D009358	11
CREM	D017437	19
CRH	D009422	13
CRHBP	D064419	21
CRHR1	D064419	21
CRHR2	D064419	21
CRISPLD2	D004066	2
CRK	D002318	1
CRLF2	D009369	12
CRP	D007239	8
CRPPA	D009422	13
CRX	D009358	11
CRYAA	D005128	4
CRYAB	D005128	4
CRYBA1	D005128	4
CRYGC	D005128	4
CRYGD	D005128	4
CS	D002318	1
CSF1	D009140	10
CSF1R	D009422	13
CSF2	D012140	16
CSF2RA	D012140	16
CSF2RB	D012140	16
CSF3	D012140	16
CSF3R	D006425	6
CSN2	D009369	12
CSN3	D009369	12
CSNK2A1	D009369	12
CSNK2A2	D009369	12
CSNK2B	D009369	12
CSRP1	D005261	5
CSRP3	D064419	21
CST3	D009369	12
CST6	D009369	12
CSTA	D017437	19
CSTB	D009369	12
CTBP1	D009358	11
CTC1	D006425	6
CTF1	D009750	14
CTH	D009369	12
CTLA4	D009422	13
CTNNA1	D006425	6
CTNNA2	D064419	21
CTNNA3	D064419	21
CTNNB1	D013568	17
CTNND2	D009422	13
CTRB1	D013568	17
CTRC	D004066	2
CTSB	D009369	12
CTSC	D009057	9
CTSD	D013568	17
CTSH	D009369	12
CTSK	D009369	12
CTSS	D017437	19
CTSZ	D009369	12
CTTN	D009369	12
CUBN	D064419	21
CUL2	D004066	2
CUL3	D009369	12
CUX1	D006425	6
CUX2	D009358	11
CX3CL1	D007154	7
CX3CR1	D017437	19
CXCL1	D007154	7
CXCL10	D005261	5
CXCL12	D002318	1
CXCL13	D005261	5
CXCL14	D064419	21
CXCL2	D012140	16
CXCL3	D002318	1
CXCL5	D007154	7
CXCL8	D012140	16
CXCL9	D007154	7
CXCR1	D004066	2
CXCR2	D013568	17
CXCR3	D007154	7
CYB5R3	D006425	6
CYBA	D002318	1
CYBB	D002318	1
CYBRD1	D009750	14
CYC1	D009750	14
CYCS	D004066	2
CYGB	D004066	2
CYLD	D009369	12
CYP11A1	D004700	3
CYP11B1	D004700	3
CYP11B2	D004700	3
CYP17A1	D004700	3
CYP19A1	D004700	3
CYP1A1	D005261	5
CYP1A2	D004066	2
CYP1B1	D004066	2
CYP24A1	D005261	5
CYP26A1	D005261	5
CYP26B1	D009057	9
CYP27A1	D002318	1
CYP27B1	D009750	14
CYP2A13	D064419	21
CYP2A6	D012140	16
CYP2B6	D009369	12
CYP2C18	D009369	12
CYP2C19	D002318	1
CYP2C8	D009422	13
CYP2C9	D002318	1
CYP2D6	D064419	21
CYP2E1	D004066	2
CYP2S1	D017437	19
CYP3A5	D002318	1
CYP46A1	D009422	13
CYP4V2	D005128	4
CYP7A1	D009750	14
CYP7B1	D004066	2
CYP8B1	D004066	2
CYRIB	D002318	1
CYSLTR2	D012140	16
CYTL1	D064419	21
DAB2IP	D002318	1
DAG1	D007239	8
DAO	D009358	11
DAPK1	D009422	13
DAPK2	D009369	12
DAXX	D009369	12
DBH	D009369	12
DBI	D009369	12
DCC	D009369	12
DCHS1	D002318	1
DCN	D013568	17
DCSTAMP	D005261	5
DCTN1	D009422	13
DCUN1D3	D009369	12
DDAH1	D004066	2
DDAH2	D002318	1
DDB1	D013568	17
DDB2	D009369	12
DDC	D009422	13
DDIT3	D004066	2
DDIT4	D013568	17
DDR1	D009369	12
DDR2	D009369	12
DDX1	D064419	21
DDX11	D013568	17
DDX3X	D009422	13
DDX5	D005261	5
DDX54	D009369	12
DDX58	D013568	17
DECR1	D064419	21
DEFA3	D009369	12
DEFA5	D009369	12
DEFA6	D004066	2
DEFB1	D017437	19
DENND1B	D004066	2
DEPDC5	D009422	13
DES	D002318	1
DEUP1	D009369	12
DFFB	D013568	17
DGAT1	D013568	17
DGAT2	D004066	2
DGUOK	D009750	14
DHCR24	D007239	8
DHCR7	D005128	4
DHDDS	D005128	4
DHFR	D005261	5
DHX15	D009369	12
DICER1	D009369	12
