geneSymbol	diseaseClass	diseaseClassLabel
RB1	D009369	12
RBFOX2	D009369	12
RBM20	D002318	1
RBMS3	D005128	4
RBP1	D009369	12
RBP3	D005128	4
RBP4	D005261	5
RBPJ	D005261	5
RC3H1	D006425	6
RCHY1	D013568	17
RD3	D009358	11
RDH12	D009358	11
RDH13	D013568	17
RDH5	D005128	4
RDX	D004066	2
REC8	D009369	12
RECK	D009369	12
REEP1	D009422	13
REEP5	D004066	2
REG3G	D002318	1
REL	D017437	19
RELA	D004066	2
RELB	D013568	17
RELN	D009422	13
REN	D002318	1
RET	D009369	12
RFC1	D064419	21
RFLNB	D004066	2
RFNG	D013568	17
RFX3	D017437	19
RFX4	D064419	21
RFX6	D009369	12
RGCC	D002318	1
RGR	D005128	4
RGS1	D017437	19
RGS17	D064419	21
RGS2	D009369	12
RGS4	D005261	5
RGS5	D002318	1
RGS9	D064419	21
RHAG	D006425	6
RHCE	D006425	6
RHD	D006425	6
RHO	D005128	4
RHOA	D009422	13
RHOB	D017437	19
RHOBTB2	D009422	13
RHOC	D002318	1
RHOJ	D002318	1
RIMS1	D005128	4
RIN3	D009140	10
RIPK2	D004066	2
RIPK3	D004066	2
RIPPLY2	D009140	10
RIT1	D002318	1
RLBP1	D005128	4
RNASE3	D007239	8
RNASE6	D004066	2
RNASET2	D009422	13
RNF114	D017437	19
RNF13	D013568	17
RNF135	D013568	17
RNF43	D009369	12
ROBO1	D009369	12
ROBO2	D009369	12
ROBO4	D002318	1
ROCK2	D002318	1
ROM1	D005128	4
RORB	D005261	5
RORC	D013568	17
ROS1	D009369	12
RP1	D005128	4
RP2	D005128	4
RPA1	D017437	19
RPE65	D009358	11
RPGR	D009358	11
RPGRIP1	D009358	11
RPGRIP1L	D009358	11
RPL11	D009140	10
RPL13	D013568	17
RPL15	D013568	17
RPL17	D002318	1
RPL18	D013568	17
RPL21	D017437	19
RPL27A	D006425	6
RPL28	D013568	17
RPL3	D009369	12
RPL5	D009140	10
RPL6	D009369	12
RPP38	D009369	12
RPS14	D013568	17
RPS15	D013568	17
RPS19	D009140	10
RPS2	D013568	17
RPS21	D013568	17
RPS26	D013568	17
RPS28	D013568	17
RPS3	D013568	17
RPS6	D013568	17
RPS6KA3	D009369	12
RPS6KA5	D064419	21
RPS6KB1	D013568	17
RPS8	D013568	17
RPTOR	D064419	21
RRM1	D013568	17
RRM2B	D009750	14
RRP9	D013568	17
RS1	D005128	4
RSAD2	D002318	1
RSPH9	D012140	16
RSPO4	D013568	17
RSU1	D017437	19
RTEL1	D012140	16
RTN1	D002318	1
RUFY3	D017437	19
RUNX1	D006425	6
RUNX1T1	D009369	12
RUNX2	D064419	21
RUNX3	D009369	12
RXFP1	D005261	5
RXRA	D009422	13
RXRB	D013568	17
RXRG	D002318	1
RYK	D013568	17
RYR1	D013568	17
RYR2	D002318	1
S100A10	D009369	12
S100A12	D009057	9
S100A4	D009369	12
S100A6	D009369	12
S100A7	D017437	19
S100A8	D009369	12
S100A9	D012140	16
S100B	D009422	13
S1PR1	D013568	17
S1PR2	D002318	1
S1PR5	D017437	19
SAA1	D017437	19
SAC3D1	D009369	12
SACS	D009422	13
SAG	D005128	4
SALL1	D009358	11
SAMD12	D009422	13
SAMD4A	D064419	21
SAMD9	D007239	8
SAMHD1	D009750	14
SAR1B	D009750	14
SARDH	D013568	17
SARM1	D007239	8
SAT1	D064419	21
SBDS	D006425	6
SC5D	D004066	2
SCARB1	D004066	2
SCARB2	D009422	13
SCD	D009369	12
SCG5	D009369	12
SCGB1A1	D012140	16
SCGB3A1	D005261	5
SCML2	D009369	12
SCN10A	D009422	13
SCN1A	D009422	13
SCN1B	D009422	13
SCN2A	D009422	13
SCN3A	D009422	13
SCN5A	D002318	1
SCN8A	D009422	13
SCN9A	D009422	13
SCNN1A	D009358	11
SCNN1B	D009358	11
SCNN1G	D009358	11
SCO1	D009750	14
SCO2	D002318	1
SCP2	D009422	13
SDCCAG8	D009358	11
SDF2L1	D005261	5
SDHA	D009369	12
SDHAF1	D009750	14
SDHAF2	D009750	14
SDHB	D009369	12
SDHC	D009750	14
SDHD	D009369	12
SEC16B	D013568	17
SECISBP2	D004700	3
SELE	D002318	1
SELENOP	D009750	14
SELENOS	D013568	17
SELP	D007154	7
SEMA3B	D009369	12
SEMA3E	D004700	3
SEMA4A	D005128	4
SEMA5A	D064419	21
SEMA6D	D064419	21
SEPSECS	D009422	13
SEPTIN14	D009369	12
SEPTIN5	D009422	13
SEPTIN9	D009369	12
SERBP1	D013568	17
SERPINA1	D012140	16
SERPINA10	D006425	6
SERPINA5	D064419	21
SERPINA6	D004066	2
SERPINB2	D009422	13
SERPINB3	D005261	5
SERPINB4	D005261	5
SERPINB8	D017437	19
SERPINB9	D017437	19
SERPINC1	D002318	1
SERPIND1	D002318	1
SERPINE1	D006425	6
SERPINF1	D005128	4
SERPINF2	D006425	6
SERPINH1	D005261	5
SERPINI1	D009422	13
SESTD1	D013568	17
SET	D013568	17
SETD1A	D009422	13
SETD2	D013568	17
SETDB1	D009369	12
SF1	D009369	12
SF3B1	D006425	6
SFN	D009369	12
SFPQ	D017437	19
SFRP1	D013568	17
SFRP2	D004066	2
SFTPA1	D012140	16
SFTPB	D012140	16
SFTPD	D012140	16
SGIP1	D064419	21
SGK1	D009369	12
SGMS2	D009140	10
SGO1	D009422	13
SGPL1	D004700	3
SH2B3	D006425	6
SH3GL1	D009369	12
SH3PXD2B	D013568	17
SHARPIN	D006425	6
SHH	D009422	13
SHMT1	D064419	21
SHOC2	D017437	19
SIAE	D007154	7
SIAH2	D005128	4
SIGMAR1	D009422	13
SIK1	D009422	13
SIM1	D009750	14
SIN3A	D009422	13
SIPA1	D009369	12
SIPA1L1	D002318	1
SIRPA	D009369	12
SIRT1	D004066	2
SIRT3	D009369	12
SIRT4	D002318	1
SIRT7	D004066	2
SIVA1	D007239	8
SIX1	D009358	11
SIX3	D009369	12
SIX5	D009358	11
SIX6	D005128	4
SKI	D002318	1
SKIL	D012140	16
SKIV2L	D007154	7
SKP2	D009369	12
SLAMF8	D004066	2
SLC10A2	D064419	21
SLC10A7	D009140	10
SLC11A1	D004066	2
SLC11A2	D006425	6
SLC12A2	D009422	13
SLC12A3	D002318	1
SLC12A5	D009422	13
SLC12A6	D009422	13
SLC15A2	D009369	12
SLC16A1	D009750	14
SLC16A2	D004066	2
SLC16A6	D005261	5
SLC17A5	D009369	12
SLC18A2	D009422	13
SLC19A1	D009369	12
SLC19A3	D009422	13
SLC1A1	D009422	13
SLC1A2	D009422	13
SLC1A3	D009422	13
SLC20A1	D005261	5
SLC20A2	D009422	13
SLC22A3	D064419	21
SLC22A4	D002318	1
SLC22A5	D002318	1
SLC22A6	D009750	14
SLC22A8	D004066	2
SLC23A1	D012140	16
SLC23A2	D004066	2
SLC24A1	D005128	4
SLC24A3	D009369	12
SLC24A5	D005128	4
SLC25A10	D009369	12
SLC25A11	D012140	16
SLC25A22	D009422	13
SLC25A3	D009750	14
SLC25A37	D006425	6
SLC25A38	D006425	6
SLC25A4	D002318	1
SLC26A2	D009140	10
SLC26A3	D004066	2
SLC26A4	D004700	3
SLC26A9	D004066	2
SLC27A2	D013568	17
SLC29A1	D064419	21
SLC2A1	D009422	13
SLC2A13	D064419	21
SLC2A2	D004066	2
SLC2A3	D009369	12
SLC2A4	D009750	14
SLC2A9	D013568	17
SLC30A10	D004700	3
SLC30A2	D013568	17
SLC30A4	D009422	13
SLC30A6	D009422	13
SLC31A1	D013568	17
SLC33A1	D005128	4
SLC34A1	D009750	14
SLC34A2	D064419	21
SLC35A1	D013568	17
SLC35A2	D009422	13
SLC39A12	D009369	12
SLC39A13	D009140	10
SLC40A1	D013568	17
SLC45A2	D009369	12
SLC46A1	D006425	6
SLC4A1	D009750	14
SLC4A10	D009422	13
SLC4A3	D002318	1
SLC4A4	D005128	4
SLC51A	D004066	2
SLC51B	D004066	2
SLC52A1	D009750	14
SLC52A3	D009422	13
SLC5A5	D009369	12
SLC5A6	D013568	17
SLC5A8	D013568	17
SLC6A1	D009422	13
SLC6A11	D009369	12
SLC6A14	D004066	2
SLC6A18	D002318	1
SLC6A2	D002318	1
SLC6A20	D009369	12
SLC6A3	D013568	17
SLC6A4	D064419	21
SLC6A5	D009422	13
SLC6A6	D002318	1
SLC6A9	D064419	21
SLC7A11	D017437	19
SLC7A8	D005261	5
SLC8A1	D002318	1
SLC9A1	D002318	1
SLC9A2	D013568	17
SLC9A3	D013568	17
SLC9A3R2	D002318	1
SLC9A4	D009750	14
SLC9A8	D009422	13
SLCO1B1	D064419	21
SLCO2A1	D064419	21
SLCO3A1	D064419	21
SLFN14	D006425	6
SLIT2	D009422	13
SLIT3	D013568	17
SLK	D064419	21
SLU7	D013568	17
SLX4	D006425	6
SMAD1	D064419	21
SMAD2	D013568	17
SMAD3	D002318	1
SMAD4	D009369	12
SMAD5	D064419	21
SMAD6	D002318	1
SMAD7	D012140	16
SMAD9	D012140	16
SMARCA2	D009369	12
SMARCA4	D009369	12
SMARCB1	D009369	12
SMARCC1	D009369	12
SMARCD1	D009140	10
SMARCD2	D006425	6
SMARCE1	D009369	12
SMC1A	D009422	13
SMC3	D009369	12
SMN1	D009422	13
SMO	D009369	12
SMOC1	D009358	11
SMPD3	D006425	6
SMPDL3A	D005261	5
SMURF1	D064419	21
SMYD3	D064419	21
SMYD4	D009369	12
SNAI1	D004066	2
SNAI2	D009358	11
SNAP23	D002318	1
SNAP25	D009422	13
SNCA	D009422	13
SNCG	D009369	12
SNRNP200	D005128	4
SNRNP70	D064419	21
SNRPB	D013568	17
SNRPD3	D009369	12
SNRPE	D017437	19
SNX5	D013568	17
SOCS1	D004066	2
SOCS3	D002318	1
SOCS4	D009369	12
SOD1	D012140	16
SOD2	D009422	13
SOD3	D012140	16
SON	D009369	12
SORBS2	D013568	17
SORD	D004066	2
SORL1	D009422	13
SORT1	D002318	1
SOS1	D002318	1
SOX10	D009358	11
SOX11	D009369	12
SOX17	D013568	17
SOX18	D017437	19
SOX2	D009369	12
SOX4	D002318	1
SOX8	D009422	13
SOX9	D013568	17
SP1	D009750	14
SPAG5	D005261	5
SPARC	D009140	10
SPARCL1	D009422	13
SPATA7	D009358	11
SPG21	D064419	21
SPG7	D009422	13
SPHK1	D006425	6
SPI1	D009369	12
SPINT2	D009369	12
SPN	D009750	14
SPOP	D009369	12
SPP1	D012140	16
SPR	D009422	13
SPRR1A	D009369	12
SPRTN	D013568	17
SPRY2	D012140	16
SPRY4	D009369	12
SPTBN1	D013568	17
SQSTM1	D009140	10
SRA1	D004700	3
SRC	D004066	2
SRCAP	D009369	12
SRCIN1	D064419	21
SRD5A1	D005261	5
SRD5A2	D052801	20
SREBF1	D004066	2
SREBF2	D009750	14
SRF	D009369	12
SRGAP1	D009369	12
SRGAP3	D013568	17
SRP54	D006425	6
SRP68	D017437	19
SRP72	D006425	6
SRPK2	D009369	12
SRPX2	D009422	13
SRRM4	D010038	15
SRRT	D009369	12
SRSF2	D006425	6
SRSF5	D004066	2
SSBP1	D017437	19
SST	D005261	5
SSTR1	D009369	12
SSTR2	D009369	12
SSTR3	D009369	12
ST18	D064419	21
ST3GAL1	D007239	8
ST3GAL3	D009422	13
ST3GAL4	D007239	8
ST3GAL5	D009422	13
ST8SIA1	D004066	2
STAG2	D006425	6
STAG3L1	D009369	12
STAMBP	D009422	13
STAP1	D009750	14
STAT1	D013568	17
STAT3	D012140	16
STAT4	D017437	19
STAT5A	D009369	12
STAT5B	D013568	17
STAT6	D012140	16
STC2	D004066	2
STEAP3	D006425	6
STIM1	D002318	1
STIM2	D013568	17
STK11	D004066	2
STK19	D009369	12
STK39	D002318	1
STMN1	D009369	12
STN1	D012140	16
STOML2	D017437	19
STON2	D064419	21
STRA6	D012140	16
STRADA	D009369	12
STS	D004066	2
STX11	D006425	6
STX17	D009369	12
STX1B	D009422	13
STXBP1	D009422	13
STXBP2	D006425	6
STYK1	D009369	12
SUCLG1	D013568	17
SUCLG2	D005261	5
SUFU	D009369	12
SULF2	D005261	5
SULT1A1	D013568	17
SULT1A2	D013568	17
SULT1E1	D004066	2
SULT2B1	D013568	17
SURF1	D009750	14
SUV39H1	D013568	17
SUZ12	D009369	12
SVIL	D009369	12
SYCP1	D009369	12
SYCP3	D005261	5
SYK	D009369	12
SYMPK	D013568	17
SYNCRIP	D009369	12
SYNE1	D064419	21
SYNGAP1	D009422	13
SYNGR1	D009369	12
SYNJ1	D009422	13
SYT13	D064419	21
SYT4	D009369	12
TAC1	D013568	17
TAC3	D004700	3
TACC1	D009369	12
TACC3	D009369	12
TACR1	D064419	21
TACR2	D012140	16
TACR3	D004700	3
TACSTD2	D005261	5
TAF15	D013568	17
TAF1L	D009369	12
TAGAP	D004066	2
TAGLN	D005261	5
TAP1	D002318	1
TARBP2	D013568	17
TAS2R13	D064419	21
TAS2R16	D064419	21
TAS2R38	D064419	21
TAS2R60	D009369	12
TAZ	D002318	1
TBC1D24	D009422	13
TBCA	D002318	1
TBCD	D012140	16
TBCE	D013568	17
TBCK	D009369	12
TBL1XR1	D009369	12
TBR1	D013568	17
TBX15	D009140	10
TBX19	D004700	3
TBX2	D009369	12
TBX20	D002318	1
TBX21	D013568	17
TBX3	D004700	3
TBX4	D009140	10
TBXA2R	D006425	6
TBXAS1	D006425	6
TBXT	D009369	12
TCAP	D002318	1
TCEA2	D009369	12
TCF21	D002318	1
TCF4	D009422	13
TCF7	D004066	2
TCF7L2	D013568	17
TCHH	D017437	19
TCIRG1	D006425	6
TCN1	D006425	6
TCN2	D009422	13
TCTN3	D005128	4
TDO2	D009750	14
TDRD7	D005128	4
TEK	D005128	4
TENM2	D064419	21
TENM3	D064419	21
TERT	D012140	16
TES	D009369	12
TESK2	D064419	21
TET2	D006425	6
TET3	D009422	13
TF	D007239	8
TFAM	D009422	13
TFAP2A	D009358	11
TFAP2B	D013568	17
TFE3	D009369	12
TFPI	D013568	17
TFRC	D005261	5
TG	D004700	3
TGFA	D012140	16
TGFB1	D012140	16
TGFB2	D002318	1
TGFB3	D012140	16
TGFBI	D005261	5
TGFBR1	D005261	5
TGFBR2	D002318	1
TGM1	D017437	19
TGM2	D009369	12
TGM3	D017437	19
TGM5	D017437	19
TH	D009422	13
THAP1	D009422	13
THBD	D006425	6
THBS1	D013568	17
THEMIS	D064419	21
THG1L	D013568	17
THPO	D006425	6
THRA	D004700	3
THRB	D004700	3
THRSP	D009369	12
THY1	D005128	4
TIAM1	D009369	12
TIAM2	D064419	21
TICAM1	D007239	8
TIMM10	D009369	12
TIMM8A	D005128	4
TIMP1	D012140	16
TIMP2	D005261	5
TIMP3	D005261	5
TINF2	D017437	19
TIPARP	D064419	21
TIRAP	D007239	8
TJP2	D004066	2
TKFC	D004066	2
TKT	D013568	17
TLE4	D009369	12
TLE5	D002318	1
TLK1	D009369	12
TLR1	D064419	21
TLR2	D006425	6
TLR4	D004066	2
TLR5	D013568	17
TLR8	D017437	19
TLR9	D004066	2
TLX1	D006425	6
TM6SF2	D004066	2
TMCO1	D005128	4
TMED2	D002318	1
TMEM126B	D009750	14
TMEM127	D009369	12
TMEM216	D009358	11
TMEM231	D009358	11
TMEM237	D009358	11
TMEM30B	D009369	12
TMEM43	D002318	1
TMEM67	D009358	11
TMEM70	D002318	1
TMPRSS7	D064419	21
TNC	D005261	5
TNF	D012140	16
TNFAIP3	D017437	19
TNFAIP6	D017437	19
TNFRSF10A	D009422	13
TNFRSF10B	D009369	12
TNFRSF11A	D009140	10
TNFRSF11B	D009140	10
TNFRSF13B	D007154	7
TNFRSF19	D009369	12
TNFRSF1A	D002318	1
TNFRSF1B	D004066	2
TNFRSF21	D013568	17
TNFRSF4	D007154	7
TNFSF10	D005261	5
TNFSF11	D009140	10
TNFSF12	D007154	7
TNFSF13	D005261	5
TNFSF15	D004066	2
TNFSF9	D017437	19
TNIK	D017437	19
TNIP1	D017437	19
TNK2	D009369	12
TNNC1	D002318	1
TNNC2	D002318	1
TNNI3	D002318	1
TNNI3K	D009369	12
TNNT2	D002318	1
TNR	D005261	5
TNRC6A	D009422	13
TOB1	D005261	5
TOE1	D009422	13
TOM1	D009358	11
TOMM40	D009422	13
TOP1	D013568	17
TOP2A	D009369	12
TOP2B	D009369	12
TOPORS	D009358	11
TOR1A	D009422	13
TP53	D009369	12
TP53BP1	D009369	12
TP53BP2	D005128	4
TP53I3	D009369	12
TP63	D005261	5
TP73	D009369	12
TPH1	D064419	21
TPI1	D009422	13
TPM1	D002318	1
TPM3	D009369	12
TPM4	D002318	1
TPMT	D006425	6
TPO	D004700	3
TPP1	D009422	13
TPSAB1	D017437	19
TRA2A	D017437	19
TRAF1	D005261	5
TRAF6	D002318	1
TRAP1	D013568	17
TRAPPC1	D009369	12
TRAPPC10	D017437	19
TRAPPC4	D009140	10
TRDN	D002318	1
TREM1	D004066	2
TREM2	D009422	13
TREX1	D009422	13
TRH	D009369	12
TRHR	D004700	3
TRIB1	D002318	1
TRIB3	D004066	2
TRIM10	D017437	19
TRIM28	D002318	1
TRIM31	D017437	19
TRIM32	D009358	11
TRIM33	D009369	12
TRIM40	D017437	19
TRIM63	D002318	1
TRIO	D009369	12
TRIP13	D009369	12
TRIT1	D009369	12
TRNT1	D006425	6
TRPA1	D012140	16
TRPC3	D002318	1
TRPC5	D002318	1
TRPC6	D013568	17
TRPM1	D005128	4
TRPM3	D064419	21
TRPM6	D009750	14
TRPM7	D013568	17
TRPM8	D009422	13
TRPS1	D009369	12
TRPV1	D002318	1
TRPV4	D009422	13
TRRAP	D009369	12
TSC1	D009358	11
TSC2	D009358	11
TSEN2	D009422	13
TSEN34	D009422	13
TSEN54	D009422	13
TSHB	D004700	3
TSHR	D004700	3
TSHZ1	D009358	11
TSLP	D013568	17
TSPAN12	D005128	4
TSPO	D004066	2
TSPYL2	D017437	19
TST	D004066	2
TTC19	D009750	14
TTC21B	D064419	21
TTC37	D007154	7
TTC8	D009358	11
TTLL9	D009369	12
TTN	D002318	1
TTPA	D002318	1
TTR	D004700	3
TUBA1A	D002318	1
TUBA1C	D002318	1
TUBB1	D006425	6
TUBB2A	D009369	12
TUBB2B	D009369	12
TULP1	D009358	11
TXN	D017437	19
TXNIP	D005261	5
TXNRD1	D009422	13
TXNRD2	D005128	4
TYK2	D004066	2
TYMP	D009422	13
TYMS	D009369	12
TYR	D009369	12
TYRO3	D002318	1
TYROBP	D009422	13
TYRP1	D009369	12
U2AF1	D006425	6
UBA1	D009369	12
UBA5	D004066	2
UBA7	D009369	12
UBAP2	D064419	21
UBASH3A	D004066	2
UBE2C	D013568	17
UBE2E1	D017437	19
UBE2I	D009369	12
UBE2T	D006425	6
UBE4B	D013568	17
UBR4	D009369	12
UBXN1	D013568	17
UCHL1	D009422	13
UCN	D013568	17
UCN2	D002318	1
UCN3	D012140	16
UCP1	D002318	1
UCP2	D004066	2
UGCG	D002318	1
UGT1A1	D009369	12
UGT1A6	D017437	19
UGT2B10	D009369	12
UGT2B17	D009369	12
UHRF1	D009369	12
UMOD	D009358	11
UMPS	D009369	12
UNC119	D005128	4
UNC13D	D006425	6
UNC5C	D009422	13
UPB1	D009422	13
UQCC2	D009750	14
UQCC3	D009750	14
UQCR11	D009369	12
UQCRB	D009750	14
UQCRC2	D009750	14
UQCRFS1	D002318	1
URI1	D009369	12
URM1	D013568	17
UROD	D009369	12
USH1C	D009358	11
USH1G	D009358	11
USH2A	D009358	11
USO1	D017437	19
USP13	D017437	19
USP18	D009369	12
USP48	D064419	21
USP6NL	D009369	12
USP8	D004700	3
UST	D005261	5
UTS2	D009422	13
UVSSA	D017437	19
VAMP2	D009422	13
VAMP7	D009369	12
VAMP8	D009369	12
VAPB	D009422	13
VAV1	D009369	12
VAV3	D002318	1
VAX1	D005128	4
VCAM1	D002318	1
VCAN	D005261	5
VCL	D002318	1
VCP	D013568	17
VDAC1	D009422	13
VDAC2	D009422	13
VDR	D009422	13
VEGFA	D006425	6
VEGFB	D013568	17
VEGFC	D006425	6
VGF	D004066	2
VGLL2	D009369	12
VHL	D009358	11
VIL1	D004066	2
VIM	D005128	4
VIP	D013568	17
VKORC1	D002318	1
VLDLR	D004066	2
VNN1	D009750	14
VNN2	D017437	19
VNN3	D017437	19
VPS45	D006425	6
VPS53	D009422	13
VPS54	D013568	17
VRK1	D009422	13
VSIG4	D009369	12
VSX1	D005128	4
VSX2	D005128	4
VTI1A	D009369	12
VTN	D004066	2
VWF	D002318	1
WDR1	D006425	6
WDR11	D064419	21
WDR12	D002318	1
WDR19	D009358	11
WDR35	D009358	11
WDR36	D005128	4
WDR45	D002318	1
WDR46	D013568	17
WDR74	D009369	12
WDR81	D009422	13
WEE1	D009369	12
WFS1	D005128	4
WHRN	D009358	11
WIPI1	D004066	2
WNK1	D002318	1
WNK4	D002318	1
WNT11	D009358	11
WNT4	D005261	5
WNT5A	D012140	16
WNT5B	D009369	12
WNT7A	D005261	5
WRAP53	D013568	17
WRN	D009750	14
WT1	D013568	17
WWOX	D009422	13
WWTR1	D009369	12
XAF1	D009369	12
XBP1	D004066	2
XDH	D002318	1
XIAP	D013568	17
XPA	D009369	12
XPC	D013568	17
XPNPEP3	D009358	11
XPO5	D013568	17
XPO6	D064419	21
XPR1	D009422	13
XRCC1	D009057	9
XRCC2	D006425	6
XRCC3	D009369	12
XRCC4	D013568	17
XRCC5	D064419	21
XYLT1	D064419	21
XYLT2	D017437	19
YAP1	D009369	12
YEATS4	D009369	12
YIF1A	D009369	12
YWHAH	D002318	1
YWHAZ	D009369	12
YY1	D013568	17
ZAP70	D007154	7
ZBTB16	D009369	12
ZBTB20	D009369	12
ZBTB7A	D009369	12
ZBTB8OS	D009369	12
ZC3H12A	D002318	1
ZC3H12C	D017437	19
ZDHHC13	D009750	14
ZDHHC2	D013568	17
ZDHHC9	D009422	13
ZEB1	D013568	17
ZEB2	D013568	17
ZFAND6	D013568	17
ZFHX4	D005128	4
ZFP36	D009140	10
ZFPM2	D013568	17
ZIC3	D009358	11
ZMPSTE24	D009140	10
ZNF267	D017437	19
ZNF366	D064419	21
ZNF423	D009358	11
ZNF438	D009369	12
ZNF462	D013568	17
ZNF513	D005128	4
ZNF593	D013568	17
ZNF606	D064419	21
ZNF658	D017437	19
ZNF668	D009369	12
ZNF699	D064419	21
ZNF750	D017437	19
ZNF816	D017437	19
ZRSR2	D006425	6
ZWILCH	D013568	17
